dataset_name,image_id,filename,source_path,patient_id,study_id,series_id,modality,slice_index,image_width,image_height,mode,channels,spacing,slice_thickness,scanner,windowing,preprocessing_status,label,label_kind,split,sha256,notes
ldctiqa,0000,0000.png,data/raw/ldctiqa/LDCTiqa_png/0000.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.8,subjective_mos_0_4,,ef211226a87cfa017ee4a34c57a2894b1c6f16164af489cb5e1740402f125d8e,RGB with three identical channels (grayscale replicated)
ldctiqa,0001,0001.png,data/raw/ldctiqa/LDCTiqa_png/0001.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.8,subjective_mos_0_4,,dc57ece23bea76b675015977c73aaca4e7fc9a505d23abb40923e709726e161f,RGB with three identical channels (grayscale replicated)
ldctiqa,0002,0002.png,data/raw/ldctiqa/LDCTiqa_png/0002.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,3.4,subjective_mos_0_4,,c79b67b8e17831ee236cc201a6ac8332d46f6f3f14d79e45983b7d17404ac0d7,RGB with three identical channels (grayscale replicated)
ldctiqa,0003,0003.png,data/raw/ldctiqa/LDCTiqa_png/0003.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.0,subjective_mos_0_4,,083d869477e7f1c813f3fe3a93cb07efb7cc901a6d947c064bc518880b7c0def,RGB with three identical channels (grayscale replicated)
ldctiqa,0004,0004.png,data/raw/ldctiqa/LDCTiqa_png/0004.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.0,subjective_mos_0_4,,def8697fd7a9d08081fc0b8522e81460ea8ccf1e834bf0ca479bfc35b2b710a1,RGB with three identical channels (grayscale replicated)
ldctiqa,0005,0005.png,data/raw/ldctiqa/LDCTiqa_png/0005.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.2,subjective_mos_0_4,,f55542f1ab34aa564f2a1ef592970c8a5c34f1f5b39d2a67f5bb1af5e55f8db2,RGB with three identical channels (grayscale replicated)
ldctiqa,0006,0006.png,data/raw/ldctiqa/LDCTiqa_png/0006.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.6,subjective_mos_0_4,,4df81488bcff483f73e6f02becc1d384ca8135bca4e33214a0ee2d786766ec19,RGB with three identical channels (grayscale replicated)
ldctiqa,0007,0007.png,data/raw/ldctiqa/LDCTiqa_png/0007.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,4.0,subjective_mos_0_4,,d0ccf6b88b18c15ec1c4a3bf9c8b35c930b169661a9880d45b0a2d0a3aaaa117,RGB with three identical channels (grayscale replicated)
ldctiqa,0008,0008.png,data/raw/ldctiqa/LDCTiqa_png/0008.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.0,subjective_mos_0_4,,b0ba71806bd1ba8d5fa3f42a38beec8947ba04b3baf7cb9716516dcccea28543,RGB with three identical channels (grayscale replicated)
ldctiqa,0009,0009.png,data/raw/ldctiqa/LDCTiqa_png/0009.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.6,subjective_mos_0_4,,8a08761b80143d7c64d7393188eadadce12fb7fbcaa655cd27809af880fe08c7,RGB with three identical channels (grayscale replicated)
ldctiqa,0010,0010.png,data/raw/ldctiqa/LDCTiqa_png/0010.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,4.0,subjective_mos_0_4,,bec6054f2b8c4ba4f653692dcb9b598b528408a1cddb309ed1e13f1cfdfbade8,RGB with three identical channels (grayscale replicated)
ldctiqa,0011,0011.png,data/raw/ldctiqa/LDCTiqa_png/0011.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.2,subjective_mos_0_4,,1ac5791bf4e85b00e6719bd9f2439bf8172540145acad1560aea88bbafd8058d,RGB with three identical channels (grayscale replicated)
ldctiqa,0012,0012.png,data/raw/ldctiqa/LDCTiqa_png/0012.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.6,subjective_mos_0_4,,f761cbe4cc6a3b23ca9bf68ef41780725490bda5f467142b84b9053dc6746087,RGB with three identical channels (grayscale replicated)
ldctiqa,0013,0013.png,data/raw/ldctiqa/LDCTiqa_png/0013.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.4,subjective_mos_0_4,,5b3ee44c562c5ac3bd4a231e98c03ffa729d36c4f24da57a157e5e8458284952,RGB with three identical channels (grayscale replicated)
ldctiqa,0014,0014.png,data/raw/ldctiqa/LDCTiqa_png/0014.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.2,subjective_mos_0_4,,cf5e26070fb9d9f0f04e59f09e7f2b67fcfacf70967120159b7a5cef79f2f044,RGB with three identical channels (grayscale replicated)
ldctiqa,0015,0015.png,data/raw/ldctiqa/LDCTiqa_png/0015.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,4.0,subjective_mos_0_4,,081db33818403e282773e80655f0d74916ecf16f37929c72e12489d1f1be8b97,RGB with three identical channels (grayscale replicated)
ldctiqa,0016,0016.png,data/raw/ldctiqa/LDCTiqa_png/0016.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.0,subjective_mos_0_4,,d80f83bd87dd9cd7aebda9a5111236f7201b24c2457404f79599cbe2a8372cab,RGB with three identical channels (grayscale replicated)
ldctiqa,0017,0017.png,data/raw/ldctiqa/LDCTiqa_png/0017.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.6,subjective_mos_0_4,,d53f64b97e015ab7e83660b6b3e3da0da4825b4cdcf9e6bbceb28022ecc9d28d,RGB with three identical channels (grayscale replicated)
ldctiqa,0018,0018.png,data/raw/ldctiqa/LDCTiqa_png/0018.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.4,subjective_mos_0_4,,a8d441546f80b3711888b52cdb64c901bf115dec137422d943fa218637ead26e,RGB with three identical channels (grayscale replicated)
ldctiqa,0019,0019.png,data/raw/ldctiqa/LDCTiqa_png/0019.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,3.6,subjective_mos_0_4,,806f10a7dbafdf34486ca07f3b4c87ec84057fa8d8599ec70d2c4daf4b9f334c,RGB with three identical channels (grayscale replicated)
ldctiqa,0020,0020.png,data/raw/ldctiqa/LDCTiqa_png/0020.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.6,subjective_mos_0_4,,82a8a16e075e6e0895b90c4a94fe68289e9dac36c411e512eb3d55181d9c10c2,RGB with three identical channels (grayscale replicated)
ldctiqa,0021,0021.png,data/raw/ldctiqa/LDCTiqa_png/0021.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,0.2,subjective_mos_0_4,,8e89c211ac1658001ae05b86166329641b975a7b2f50480539ae858f19e677d6,RGB with three identical channels (grayscale replicated)
ldctiqa,0022,0022.png,data/raw/ldctiqa/LDCTiqa_png/0022.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,3.8,subjective_mos_0_4,,73961812ddd18bf0e73b1eaea6db117ee38dc6406adcf026ea846a927ab04859,RGB with three identical channels (grayscale replicated)
ldctiqa,0023,0023.png,data/raw/ldctiqa/LDCTiqa_png/0023.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,2.2,subjective_mos_0_4,,c2f2648d62f69adc06e51597b1c440cde24ad1507c5f2a0a5e7730a4d44a397b,RGB with three identical channels (grayscale replicated)
ldctiqa,0024,0024.png,data/raw/ldctiqa/LDCTiqa_png/0024.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.0,subjective_mos_0_4,,a62d28dbfe2c40c1482ec5d40df6bd474f8449616b7d41320abab52e81e2f2c9,RGB with three identical channels (grayscale replicated)
ldctiqa,0025,0025.png,data/raw/ldctiqa/LDCTiqa_png/0025.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,3.8,subjective_mos_0_4,,32bc4d0bf6a86791566e294e6fa46207593b63013f4f5b53c6aa40d6ebf760f8,RGB with three identical channels (grayscale replicated)
ldctiqa,0026,0026.png,data/raw/ldctiqa/LDCTiqa_png/0026.png,,,,CT,,512,512,RGB,3,,,,350/40,raw,1.4,subjective_mos_0_4,,c34f79576c2c44750082f0329c2270b9ecaa634d141532e86f9dec88f5f5bba3,RGB with three identical channels (grayscale replicated)
