reference_id,degraded_id,degradation_type,noise_sigma,blur_sigma,combined_degradation,vif_score,expert_score,predicted_score,calibrated_score,split,reference_source,reference_path,degraded_path
0000,0000_clean,clean,,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/references/0000.png
0000,0000_noise_1,noise,1.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_1.png
0000,0000_noise_1.5,noise,1.5,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_1.5.png
0000,0000_noise_2,noise,2.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_2.png
0000,0000_noise_3,noise,3.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_3.png
0000,0000_noise_4.5,noise,4.5,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_4.5.png
0000,0000_noise_6,noise,6.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_6.png
0000,0000_noise_7.5,noise,7.5,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_7.5.png
0000,0000_noise_9,noise,9.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_9.png
0000,0000_noise_14,noise,14.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_14.png
0000,0000_noise_21,noise,21.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_21.png
0000,0000_noise_30,noise,30.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_30.png
0000,0000_noise_50,noise,50.0,,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/noise/0000_noise_50.png
0000,0000_blur_0.1,blur,,0.1,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.1.png
0000,0000_blur_0.15,blur,,0.15,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.15.png
0000,0000_blur_0.2,blur,,0.2,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.2.png
0000,0000_blur_0.3,blur,,0.3,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.3.png
0000,0000_blur_0.45,blur,,0.45,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.45.png
0000,0000_blur_0.6,blur,,0.6,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.6.png
0000,0000_blur_0.75,blur,,0.75,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.75.png
0000,0000_blur_0.9,blur,,0.9,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_0.9.png
0000,0000_blur_1.4,blur,,1.4,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_1.4.png
0000,0000_blur_2.1,blur,,2.1,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_2.1.png
0000,0000_blur_3,blur,,3.0,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_3.png
0000,0000_blur_5,blur,,5.0,False,,2.8,,,train,ldctiqa,data/processed/quality_iqa/references/0000.png,data/processed/quality_iqa/degraded/blur/0000_blur_5.png
